"agent_id","date_utc","timezone_string","time_zone","user_shift_assign"
3075,"2023-07-19",Asia/Kolkata,-5:30:00,NewRiv_2230-0730 Mon-Fri
3075,"2023-07-20",Asia/Kolkata,-5:30:00,NewRiv_2230-0730 Mon-Fri
3076,"2023-07-18",Asia/Kolkata,-5:30:00,RivAgent_0230-1130IST Tue-Sat
3076,"2023-07-19",Asia/Kolkata,-5:30:00,RivAgent_0230-1130IST Tue-Sat
3076,"2023-07-20",Asia/Kolkata,-5:30:00,RivAgent_0230-1130IST Tue-Sat
3077,"2023-07-18",Asia/Kolkata,-5:30:00,RivAgent_0230-1130IST Tue-Sat
3077,"2023-07-19",Asia/Kolkata,-5:30:00,RivAgent_0230-1130IST Tue-Sat
3077,"2023-07-20",Asia/Kolkata,-5:30:00,RivAgent_0230-1130IST Tue-Sat
3078,"2023-07-18",Asia/Kolkata,-5:30:00,RivAgent_0230-1130IST Tue-Sat
3078,"2023-07-19",Asia/Kolkata,-5:30:00,RivAgent_0230-1130IST Tue-Sat
3078,"2023-07-20",Asia/Kolkata,-5:30:00,RivAgent_0230-1130IST Tue-Sat
3080,"2023-07-18",Asia/Kolkata,-5:30:00,Del Sales 10 Sun-Thu 7.30 PM
3080,"2023-07-19",Asia/Kolkata,-5:30:00,Del Sales 10 Sun-Thu 7.30 PM
3080,"2023-07-20",Asia/Kolkata,-5:30:00,Del Sales 10 Sun-Thu 7.30 PM
3081,"2023-07-18",Asia/Kolkata,-5:30:00,DEL Sales 2 Sun-Thu 1.30am
3081,"2023-07-19",Asia/Kolkata,-5:30:00,DEL Sales 2 Sun-Thu 1.30am
3082,"2023-07-18",Asia/Kolkata,-5:30:00,NewRiv_0030-0930
3082,"2023-07-19",Asia/Kolkata,-5:30:00,NewRiv_0030-0930
3082,"2023-07-20",Asia/Kolkata,-5:30:00,NewRiv_0030-0930
3084,"2023-07-18",Asia/Kolkata,-5:30:00,NewRiv_2359-0900
3084,"2023-07-19",Asia/Kolkata,-5:30:00,NewRiv_2359-0900
3084,"2023-07-20",Asia/Kolkata,-5:30:00,NewRiv_2359-0900
3085,"2023-07-18",Asia/Kolkata,-5:30:00,RivAgent_0230-1130IST Tue-Sat
3085,"2023-07-19",Asia/Kolkata,-5:30:00,RivAgent_0230-1130IST Tue-Sat
3085,"2023-07-20",Asia/Kolkata,-5:30:00,RivAgent_0230-1130IST Tue-Sat
3086,"2023-07-18",Asia/Kolkata,-5:30:00,NewRiv_2230-0730 Mon-Fri
3086,"2023-07-19",Asia/Kolkata,-5:30:00,NewRiv_2230-0730 Mon-Fri
3086,"2023-07-20",Asia/Kolkata,-5:30:00,NewRiv_2230-0730 Mon-Fri
3087,"2023-07-18",Asia/Kolkata,-5:30:00,NewRiv_2230-0730 Mon-Fri
3087,"2023-07-19",Asia/Kolkata,-5:30:00,NewRiv_2230-0730 Mon-Fri
3087,"2023-07-20",Asia/Kolkata,-5:30:00,NewRiv_2230-0730 Mon-Fri
3088,"2023-07-18",Asia/Kolkata,-5:30:00,NewRiv_2359-0900
3088,"2023-07-19",Asia/Kolkata,-5:30:00,NewRiv_2359-0900
3088,"2023-07-20",Asia/Kolkata,-5:30:00,NewRiv_2359-0900
3089,"2023-07-18",Asia/Kolkata,-5:30:00,NewRiv_2359-0900
3089,"2023-07-19",Asia/Kolkata,-5:30:00,NewRiv_2359-0900
3089,"2023-07-20",Asia/Kolkata,-5:30:00,NewRiv_2359-0900
3092,"2023-07-18",Asia/Kolkata,-5:30:00,RivAgent_0230-1130IST Tue-Sat
3092,"2023-07-19",Asia/Kolkata,-5:30:00,RivAgent_0230-1130IST Tue-Sat
3092,"2023-07-20",Asia/Kolkata,-5:30:00,RivAgent_0230-1130IST Tue-Sat
