"agent_id","punch_in","punch_out","date_utc"
2251,2023-07-20 07:09:00,2023-07-20 07:12:00,2023-07-20
1887,2023-07-20 07:10:00,2023-07-20 07:15:00,2023-07-20
2829,2023-07-20 07:13:00,2023-07-20 09:45:00,2023-07-20
2003,2023-07-20 07:21:00,2023-07-20 07:27:00,2023-07-20
2648,2023-07-20 07:21:00,2023-07-20 07:41:00,2023-07-20
2489,2023-07-20 07:22:00,2023-07-20 07:25:00,2023-07-20
1739,2023-07-20 07:24:00,2023-07-20 07:27:00,2023-07-20
2489,2023-07-20 07:28:00,2023-07-20 08:11:00,2023-07-20
1027,2023-07-20 07:30:00,2023-07-20 07:46:00,2023-07-20
352,2023-07-20 07:31:00,2023-07-20 07:41:00,2023-07-20
2003,2023-07-20 07:33:00,2023-07-20 07:47:00,2023-07-20
1887,2023-07-20 07:35:00,2023-07-20 07:44:00,2023-07-20
1739,2023-07-20 07:41:00,2023-07-20 07:48:00,2023-07-20
1129,2023-07-20 07:42:00,2023-07-20 07:57:00,2023-07-20
2648,2023-07-20 07:44:00,2023-07-20 09:05:00,2023-07-20
572,2023-07-20 07:46:00,2023-07-20 07:54:00,2023-07-20
2942,2023-07-20 07:50:00,2023-07-20 07:57:00,2023-07-20
2003,2023-07-20 07:53:00,2023-07-20 08:02:00,2023-07-20
1027,2023-07-20 07:54:00,2023-07-20 08:02:00,2023-07-20
352,2023-07-20 07:56:00,2023-07-20 08:11:00,2023-07-20
1887,2023-07-20 07:56:00,2023-07-20 08:13:00,2023-07-20
1739,2023-07-20 07:58:00,2023-07-20 08:11:00,2023-07-20
1129,2023-07-20 08:00:00,2023-07-20 08:03:00,2023-07-20
638,2023-07-20 08:01:00,2023-07-20 08:30:00,2023-07-20
352,2023-07-20 08:15:00,2023-07-20 08:46:00,2023-07-20
1027,2023-07-20 08:16:00,2023-07-20 08:33:00,2023-07-20
2895,2023-07-20 08:21:00,2023-07-20 08:25:00,2023-07-20
1673,2023-07-20 08:24:00,2023-07-20 08:38:00,2023-07-20
1739,2023-07-20 08:24:00,2023-07-20 09:00:00,2023-07-20
2082,2023-07-20 08:27:00,2023-07-20 08:46:00,2023-07-20
539,2023-07-20 08:30:00,2023-07-20 08:36:00,2023-07-20
1887,2023-07-20 08:30:00,2023-07-20 08:33:00,2023-07-20
2489,2023-07-20 08:36:00,2023-07-20 09:06:00,2023-07-20
2625,2023-07-20 08:36:00,2023-07-20 08:55:00,2023-07-20
1027,2023-07-20 08:39:00,2023-07-20 08:49:00,2023-07-20
1673,2023-07-20 08:41:00,2023-07-20 09:05:00,2023-07-20
1484,2023-07-20 08:47:00,2023-07-20 09:06:00,2023-07-20
352,2023-07-20 08:49:00,2023-07-20 08:53:00,2023-07-20
1027,2023-07-20 08:52:00,2023-07-20 09:13:00,2023-07-20
1887,2023-07-20 08:55:00,2023-07-20 08:58:00,2023-07-20
352,2023-07-20 08:58:00,2023-07-20 09:06:00,2023-07-20
1739,2023-07-20 09:08:00,2023-07-20 09:12:00,2023-07-20
2082,2023-07-20 09:10:00,2023-07-20 10:17:00,2023-07-20
352,2023-07-20 09:15:00,2023-07-20 09:20:00,2023-07-20
